M,N,K,Time(s),GFLOPS,Precision,Binding,Cores
2000,2000,2000,0.026826,596.440562,float,spread,12
3000,3000,3000,0.042740,1263.454858,float,spread,12
4000,4000,4000,0.118247,1082.481011,float,spread,12
5000,5000,5000,0.215709,1158.967893,float,spread,12
6000,6000,6000,0.390422,1106.495823,float,spread,12
7000,7000,7000,0.574673,1193.721768,float,spread,12
8000,8000,8000,0.881403,1161.784599,float,spread,12
9000,9000,9000,0.986586,1477.822899,float,spread,12
10000,10000,10000,1.381350,1447.859274,float,spread,12
11000,11000,11000,1.968642,1352.201238,float,spread,12
12000,12000,12000,2.349133,1471.181068,float,spread,12
13000,13000,13000,3.002226,1463.580738,float,spread,12
14000,14000,14000,3.672231,1494.459388,float,spread,12
15000,15000,15000,4.536226,1488.020958,float,spread,12
16000,16000,16000,5.445561,1504.344417,float,spread,12
17000,17000,17000,6.358457,1545.343562,float,spread,12
18000,18000,18000,7.773023,1500.574511,float,spread,12
19000,19000,19000,8.915231,1538.715082,float,spread,12
20000,20000,20000,10.624091,1506.011171,float,spread,12
2000,2000,2000,0.016094,994.140474,float,close,12
3000,3000,3000,0.051065,1057.475808,float,close,12
4000,4000,4000,0.090963,1407.171878,float,close,12
5000,5000,5000,0.174597,1431.865242,float,close,12
6000,6000,6000,0.377886,1143.203192,float,close,12
7000,7000,7000,0.499522,1373.312923,float,close,12
8000,8000,8000,0.762971,1342.121336,float,close,12
9000,9000,9000,1.034197,1409.789181,float,close,12
10000,10000,10000,1.352491,1478.752960,float,close,12
11000,11000,11000,1.801199,1477.904299,float,close,12
12000,12000,12000,2.372961,1456.408352,float,close,12
13000,13000,13000,2.900339,1514.995136,float,close,12
14000,14000,14000,3.681757,1490.592581,float,close,12
15000,15000,15000,4.580319,1473.696512,float,close,12
16000,16000,16000,5.300200,1545.602154,float,close,12
17000,17000,17000,6.623763,1483.446766,float,close,12
18000,18000,18000,7.599330,1534.872140,float,close,12
19000,19000,19000,9.164905,1496.796777,float,close,12
20000,20000,20000,10.654504,1501.712336,float,close,12
2000,2000,2000,0.025747,621.430296,double,spread,12
3000,3000,3000,0.107448,502.569484,double,spread,12
4000,4000,4000,0.175405,729.740307,double,spread,12
5000,5000,5000,0.425494,587.552649,double,spread,12
6000,6000,6000,0.753731,573.148612,double,spread,12
7000,7000,7000,0.921778,744.214105,double,spread,12
8000,8000,8000,1.446380,707.974552,double,spread,12
9000,9000,9000,2.203957,661.537447,double,spread,12
10000,10000,10000,2.630748,760.239971,double,spread,12
11000,11000,11000,3.564883,746.728637,double,spread,12
12000,12000,12000,4.656396,742.204950,double,spread,12
13000,13000,13000,5.911235,743.330292,double,spread,12
14000,14000,14000,7.312063,750.540532,double,spread,12
15000,15000,15000,9.174905,735.702416,double,spread,12
16000,16000,16000,11.148690,734.794848,double,spread,12
17000,17000,17000,13.105555,749.758401,double,spread,12
18000,18000,18000,15.553481,749.928574,double,spread,12
19000,19000,19000,18.384873,746.156889,double,spread,12
20000,20000,20000,21.500152,744.180779,double,spread,12
2000,2000,2000,0.034254,467.100219,double,close,12
3000,3000,3000,0.092328,584.870099,double,close,12
4000,4000,4000,0.219656,582.729735,double,close,12
5000,5000,5000,0.385408,648.664001,double,close,12
6000,6000,6000,0.610307,707.840297,double,close,12
7000,7000,7000,1.038625,660.488890,double,close,12
8000,8000,8000,1.448574,706.901939,double,close,12
9000,9000,9000,1.961917,743.150829,double,close,12
10000,10000,10000,2.673377,748.117408,double,close,12
11000,11000,11000,3.589439,741.619970,double,close,12
12000,12000,12000,4.601895,750.995034,double,close,12
13000,13000,13000,5.889741,746.042941,double,close,12
14000,14000,14000,7.244684,757.520913,double,close,12
15000,15000,15000,8.992893,750.592739,double,close,12
16000,16000,16000,10.938073,748.943627,double,close,12
17000,17000,17000,13.046989,753.123982,double,close,12
18000,18000,18000,15.417610,756.537502,double,close,12
19000,19000,19000,18.239536,752.102449,double,close,12
20000,20000,20000,10.494761,1524.570202,float,close,12

